Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Aniwa Town Board,7:30 p.m.,2nd Monday,,,,I couldn't find a website online,Shawano,,,
Bartelme Town Board,6:30 p.m.,2nd Thursday,,,,I couldn't find a website online,Shawano,,,
Belle Plaine Town Board,9:30 a.m.,2nd Monday,,https://belleplainewi.com/town-information/meetings-notices/,https://belleplainewi.com/contact-us/,"They have any agendas posted on the site, but they have minutes posted through January",Shawano,,,
Birnamwood Town Board,6 p.m.,3rd Monday,,https://townofbirnamwood.wi.gov/agenda-minutes.php,https://townofbirnamwood.wi.gov/officials.php,They don't have any agendas posted,Shawano,,,
Fairbanks Town Board,6:30 p.m.,2nd Monday,,,,I couldn't find a website online,Shawano,,,
Germania Town Board,,,,,,I couldn't find a website online,Shawano,,,
Grant Town Board,7 p.m.,1st Monday,,https://townofgrantshawanowi.gov/agendas-minutes/,https://townofgrantshawanowi.gov/town-board/,,Shawano,y,TownWeb,pdf
Green Valley Town Board,7 p.m.,2nd Wednesday,,https://townofgreenvalley.com/meetings/,https://townofgreenvalley.com/town-board/,,Shawano,y,TownWeb,pdf
Hartland Town Board,7 p.m.,2nd Monday,,https://www.townofhartlandwi.com/meetings.html,https://www.townofhartlandwi.com/government.html,,Shawano,,,
Herman Town Board,7 p.m.,3rd Wednesday,,https://www.townofherman-shawano.com/agendas-minutes.html,https://www.townofherman-shawano.com/town-officers.html,,Shawano,,,
Hutchins Town Board,7 p.m.,2nd Tuesday,,,,I couldn't find a website online,Shawano,,,
Lessor Town Board,7 p.m.,2nd Tuesday,,https://townoflessor.com/agendas-minutes/,https://townoflessor.com/town-board/,,Shawano,y,TownWeb,pdf
Maple Grove Town Board,7:30 p.m.,2nd Monday,,,,"I couldn't find a website online - there's also a town of Maple Grove in Manitowoc, Co. ",Shawano,,,
Morris Town Board,7 p.m.,3rd Wednesday,,,,I couldn't find a website online,Shawano,,,
Navarino Town Board,6 or 7 p.m.,2nd Tuesday,,https://townofnavarino.org/agendas-minutes/,https://townofnavarino.org/town-directory/,They haven't posted an agenda since November 2025,Shawano,y,TownWeb,pdf
Pella Town Board,7 p.m.,2nd Monday,,https://townofpella.com/monthly-meeting-agendas-1,https://townofpella.com/town-board-members,,Shawano,,,
Red Springs Town Board,7 p.m.,2nd Wednesday,,https://townofredsprings.com/meeting-agendas,https://townofredsprings.com/contacts,,Shawano,,,
Richmond Town Board,7 p.m.,2nd Monday,,https://richmondwi.com/agendas-minutes/,https://richmondwi.com/town-board-staff/,,Shawano,,,
Seneca Town Board,5:30 p.m.,2nd Thursday,,http://www.senecawi.com/agendas--minutes.html,http://www.senecawi.com/town-board-members.html,,Shawano,,,
Washington Town Board,7 p.m.,2nd Tuesday,,https://townofwashingtonshawanoco.com/agendas-minutes/,https://townofwashingtonshawanoco.com/staff-directory/,,Shawano,y,TownWeb,pdf
Waukechon Town Board,7 p.m.,2nd Monday,,,,I couldn't find a website online,Shawano,,,
Wescott Town Board,4 p.m.,2nd Thursday,,http://townofwescott.com/agendas/,https://townofwescott.com/town-board-staff/,,Shawano,y,TownWeb,pdf
Wittenberg Town board,6:30 p.m.,3rd Tuesday,,https://townofwittenbergwi.gov/meetings/,https://townofwittenbergwi.gov/staff-directory/,,Shawano,,,
Aniwa Village Board,7:30 p.m.,1st Monday,,,,I couldn't find a website online,Shawano,,,
Birnamwood Village Board,7 p.m.,2nd and 4th Monday,,,https://villageofbirnamwood.com/government/,They haven't posted agendas on the website since 2024.,Shawano,,,
Bonduel Village Board,6 p.m.,2nd Wednesday,,https://villageofbirnamwood.com/,https://villageofbonduel.com/village-board/,,Shawano,,,
Bowler Village Board,6:30 or 7 p.m.,2nd Monday,,https://villageofbonduel.com/agendas-minutes/,,I couldn't find a website online,Shawano,,,
Cecil Village Board,6 p.m.,3rd Tuesday,,http://villageofcecil.com/village_board.html,http://villageofcecil.com/village_board.html,They haven't posted any agendas in 2026,Shawano,,,
Eland Village Board,7 p.m.,2nd Monday,,https://villageofeland.wi.gov/minutes.php,https://villageofeland.wi.gov/officials.php,,Shawano,,,
Gresham Village Board,6 p.m.,3rd Tuesday,,https://visit-gresham.com/government/,https://visit-gresham.com/government/,Scroll all the way down to see the board members,Shawano,,,
Mattoon Village Board,7 p.m.,2nd Monday,,,https://villageofmattoon.org/contact-us/,No agendas or list of village board members on the website,Shawano,,,
Pulaski Village Board,6 p.m.,1st Monday,,https://www.villageofpulaski.org/government/village_board/agendas_minutes.php#outer-241,https://www.villageofpulaski.org/government/village_board/index.php,They seem to have special meetings every month. ,Shawano,,,
Tigerton Village Board,5:30 p.m.,1st Monday,,https://gladinet.hbscloudservices.com/portal/RawWebAppPage.aspx/fid/13272153413696741372_11723006452166964420,https://www.tigertonwi.com/village-board-1,,Shawano,,,
Wittenberg Village Board,6 p.m.,1st and 3rd Tuesday,,https://villageofwittenberg.com/agendas-minutes/,https://villageofwittenberg.com/village-board/,,Shawano,y,TownWeb,pdf
Marion Common Council,6 p.m.,2nd Monday,,https://cityofmarionwi.gov/index.asp?SEC=46D82431-1791-48A3-96C7-9A7CFA9D06B7&DE=5F0381AB-3046-4FE3-8002-DCDE67E27FA3,https://cityofmarionwi.gov/mayor-council,,Shawano,,,
Shawano Common Council,6 p.m.,2nd Wednesday,,https://shawanowi.civicweb.net/Portal/MeetingInformation.aspx?Id=11680,https://shawanowi.civicweb.net/portal/members.aspx?id=10,,Shawano,,,
Antigo School Board,6:15 p.m.,3rd Wednesday,,https://go.boarddocs.com/wi/antigo/Board.nsf/Public,https://www.antigo.k12.wi.us/district/school-board.cfm,,Shawano,,,
Bonduel School Board,7 p.m.,1st and 3rd Monday,,https://www.bonduel.k12.wi.us/district/boardminutes.cfm,https://www.bonduel.k12.wi.us/district/boarddirectory.cfm,,Shawano,,,
Bowler School Board,6 p.m.,3rd Monday,,https://www.bowler.k12.wi.us/page/agendas-minutes,https://www.bowler.k12.wi.us/page/board-contacts1,,Shawano,,,
Clintonville School Board,6 p.m.,2nd and 4th Monday,,https://drive.google.com/drive/folders/13TRKsMP0J_q1MzLc7oC0D37SRbequpJv,https://www.clintonville.k12.wi.us/page/board-members,,Shawano,,,
Gillett School Board,6:30 p.m.,3rd Wednesday,,https://gillett.community.highbond.com/Portal/MeetingInformation.aspx?Id=314,https://gillett.community.highbond.com/portal/members.aspx?id=10,,Shawano,,,
Gresham School Board,6 p.m.,1st and 3rd Monday,,https://sites.google.com/a/gresham.k12.wi.us/gresham-school-district-board-of-education/home/meetings/2025-2026?authuser=0,https://www.gresham.k12.wi.us/page/school-board,,Shawano,,,
Marion School Board,5 p.m.,2nd Monday,,https://drive.google.com/drive/folders/1rI3FcZY7pau9MKgFiPUK-R40cl-Pgv5Z,https://www.marion.k12.wi.us/26025_3,,Shawano,,,
Menominee Indian School Board,5 p.m.,1st and 3rd Tuesday,,https://www.misd.k12.wi.us/documents/board/board-minutes-archive/board-minutes-2025-2026/22001509,https://www.misd.k12.wi.us/page/meet-the-board,,Shawano,,,
Pulaski School Board,6 p.m.,1st and 3rd Wednesdays,Yes - on YouTube,https://www.pulaskischools.org/boe/meetings-agendas,https://www.pulaskischools.org/boe,,Shawano,,,
Seymour School Board,6:30 p.m.,4th Tuesday,,https://go.boarddocs.com/wi/seymour/Board.nsf/Public,https://www.seymour.k12.wi.us/district/school-board.cfm,,Shawano,,,
