Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Rockland Town Board,7 p.m.,2nd Monday,,https://townofrocklandmanitowoccountywi.gov/meetings/,https://townofrocklandmanitowoccountywi.gov/town-board-staff/,,Manitowoc,y,TownWeb,pdf
Schleswig Town Board,6:30 p.m.,2nd Wednesday,,https://townofschleswig.com/agendas-minutes/,https://townofschleswig.com/town-board/,,Manitowoc,y,TownWeb,pdf
Two Creeks Town Board,7 p.m.,2nd Monday,,https://www.townoftwocreeks.com/agendas-minutes/,https://www.townoftwocreeks.com/town-board/,,Manitowoc,y,TownWeb,pdf
Two Rivers Town Board,6 p.m.,2nd Monday,,https://www.townoftwocreeks.com/agendas-minutes/,https://townoftworivers.wi.gov/officials.php,,Manitowoc,y,TownWeb,pdf
Cleveland Village Board,6 p.m.,3rd Tuesday,,https://clevelandwi.gov/links/notices-and-agendas/,https://clevelandwi.gov/contact/,,Manitowoc,,,
Francis Creek Village Board,7 p.m.,1st Monday,,https://www.franciscreek.org/agendas-minutes-1/cbf9bc95-a196-43d9-bdfb-4d9933c29e6b,,,Manitowoc,,,
Mishicot Village Board,6 p.m.,3rd Tuesday,,https://vi.mishicot.wi.gov/agendas-minutes/,https://vi.mishicot.wi.gov/village-board-staff/,,Manitowoc,,,
Reedsville Village Board,6 p.m.,2nd Monday,,https://reedsvillewi.gov/agendas-minutes/,https://reedsvillewi.gov/village-board-officials/,,Manitowoc,,,
St. Nazianz Village Board,6:30 p.m.,3rd Tuesday,,https://vi.stnazianz.wi.gov/agendas,https://vi.stnazianz.wi.gov/village-board,,Manitowoc,,,
Valders Village Board,7 p.m.,2nd Monday,,https://www.valders.org/agenda-minutes.php,https://www.valders.org/officials.php,,Manitowoc,,,
Whitelaw Village Board,7 p.m.,1st Monday,,https://villageofwhitelaw-wi.gov/agendas-minutes/,https://villageofwhitelaw-wi.gov/department/,,Manitowoc,,,
Manitowoc School Board,6 p.m.,2nd Tuesday,Yes - on YouTube,https://manitowocpublicschools.community.diligentoneplatform.com/Portal/MeetingTypeList.aspx,https://www.manitowocpublicschools.org/district/board-of-education.cfm,,Manitowoc,,,
Mishicot School Board,5:30 p.m.,2nd and 4th Monday,,https://meetings.boardbook.org/Public/Organization/1698,https://www.mishicot.k12.wi.us/o/district/staff?filter=14850&filter_ids=14850,,Manitowoc,,,
Valders School Board,6:30 p.m.,4th Monday,,https://www.valders.k12.wi.us/district/board-meetings.cfm,https://www.valders.k12.wi.us/district/school-board.cfm,,Manitowoc,,,
Two Rivers School Board,5:45 p.m.,2nd and 4th Monday,,https://go.boarddocs.com/wi/twosd/Board.nsf/Public,https://www.trschools.k12.wi.us/about-us/school-board/school-board-members,,Manitowoc,,,
Kewaunee County Board,6 p.m.,3rd Tuesday,Yes,https://www.kewauneeco.org/government/agendas_and_minutes/agendas/?committees=county-board,https://www.kewauneeco.org/government/boards_and_committees/,,Kewaunee,,,
Ahnapee Town Board,6 p.m.,3rd Wednesday,,https://drive.google.com/drive/folders/1avEKSSluk3xjkgaL0GHk1rQ4lv59OKxd,https://townofahnapee.org/town-board/,,Kewaunee,,,
Carlton Town Board,5:30 or 6 p.m.,2nd Tuesday,,https://townofcarltonwi.com/agendas-minutes/,https://townofcarltonwi.com/town-officials/,,Kewaunee,y,TownWeb,pdf
Casco Town Board,7 p.m.,Last Tuesday,,,https://www.townofcascowi.com/,"They post minutes of past meetings, I don't see any agendas / Scroll all the way to the bottom of the homepage for a list of town board officials",Kewaunee,,,
Franklin Town Board,6 p.m.,2nd Monday,,https://franklinkewauneecowi.gov/agenda-minutes/,https://franklinkewauneecowi.gov/contact/,,Kewaunee,,,
Lincoln Town Board,7 p.m.,1st Monday,,https://lincolnkewauneewi.com/meetings/,https://lincolnkewauneewi.com/town-board-staff/,,Kewaunee,y,TownWeb,pdf
Luxemburg Town Board,7 p.m.,4th Wednesday,,https://www.townofluxemburgwi.com/,https://www.townofluxemburgwi.com/,"Click ""Town Meeting Agenda"" for latest agenda / scroll all the way down the home page for a list of town board members",Kewaunee,,,
Montpelier Town Board,7:30 p.m.,3rd Wednesday,,https://sites.google.com/view/townofmontpelier/home?authuser=0,https://sites.google.com/view/townofmontpelier/contact-information?authuser=0,,Kewaunee,,,
Pierce Town Board,6:30 p.m.,3rd Wednesday,,http://www.townofpierce.com/posted-1.html,http://www.townofpierce.com/contact.html,,Kewaunee,,,
Red River Town Board,7 p.m.,3rd Wednesday,,https://townofredriverwis.gov/agenda-minutes/,https://townofredriverwis.gov/contact-2/,,Kewaunee,,,
West Kewaunee Town Board,6 p.m.,3rd Thursday,,https://www.townofwestkewaunee.com/agendasandminutes/402f1d74-429f-4c4c-82e9-7c443738abe9,https://www.townofwestkewaunee.com/townofficials,,Kewaunee,,,
Casco Village Board,6:30 p.m.,1st Tuesday,,https://villageofcascowi.gov/meeting-minutes/,https://villageofcascowi.gov/village-board/,,Kewaunee,,,
Luxemburg Village Board,7 p.m.,2nd Tuesday,,https://luxemburgusa.com/government/agenda___minutes.php#outer-206sub-212,https://luxemburgusa.com/government/officials.php,,Kewaunee,,,
Algoma Common Council,5 p.m.,1st Monday,,https://www.towncloud.io/go/algoma-wi/,https://www.algomacity.org/government/city_council.php,,Kewaunee,,,
Kewaunee Common Council,6 p.m.,2nd Monday,,https://cityofkewauneewi.gov/agendas-minutes/,https://cityofkewauneewi.gov/common-council/,,Kewaunee,,,
Algoma School Board,6 p.m.,4th Monday,,https://alghs.community.highbond.com/Portal/MeetingInformation.aspx?Id=86,https://www.algomawolves.org/district/school-board.cfm,,Kewaunee,,,
Denmark School Board,6 p.m.,2nd Monday,,https://go.boarddocs.com/wi/den/Board.nsf/Public,https://www.denmark.k12.wi.us/page/board-of-education,,Kewaunee,,,
Kewaunee School Board,4:30 p.m.,3rd Monday,,https://www.kewaunee.k12.wi.us/page/board-agendas,https://www.kewaunee.k12.wi.us/page/board-members,,Kewaunee,,,
Luxemburg-Casco School Board,7 p.m.,3rd Wednesday,,https://drive.google.com/drive/folders/1ynX8Bm_bQtzyQQylYfFg_2Ezfy-e1EYT,https://www.luxcasco.k12.wi.us/district/board-of-education,,Kewaunee,,,
Door County Board,9 or 10 a.m.,4th Tuesday,,"https://www.co.door.wi.gov/AgendaCenter/Search/?term=&CIDs=35,&startDate=&endDate=&dateRange=&dateSelector=",https://www.co.door.wi.gov/234/County-Board-of-Supervisors,,Door,,,
Sturgeon Bay Common Council,6 p.m.,1st and 3rd Tuesday,,https://www.sturgeonbaywi.org/government/committees___commissions/minutes___agendas/common_council.php,https://www.sturgeonbaywi.org/government/city_council/index.php,,Door,,,
Egg Harbor Village Board,9 a.m.,2nd Wednesday,,https://villageofeggharbor.gov/villageboard,https://villageofeggharbor.gov/officials,,Door,,,
Ephraim Village Board,8 a.m.,2nd Tuesday,,https://ephraim.wi.gov/agendas-minutes/,https://ephraim.wi.gov/village-board/,,Door,,,
Forestville Village Board,6 p.m.,3rd Monday,,https://villageofforestvillewi.gov/agendas-minutes/,https://villageofforestvillewi.gov/village-board/,,Door,y,TownWeb,pdf
Sister Bay Village Board,6 p.m.,3rd Tuesday,,https://sisterbaywi.gov/meetings/,https://sisterbaywi.gov/trustee-listing-contact-information/,,Door,y,TownWeb,pdf
Baileys Harbor Town Board,6 p.m.,2nd Monday,,https://baileysharborwi.gov/agendas-minutes/,https://baileysharborwi.gov/town-board/,,Door,y,TownWeb,pdf
Brussels Town Board,6:30 p.m.,2nd Wednesday,,https://www.townofbrussels.com/agendas-minutes/,https://www.townofbrussels.com/town-contacts/,,Door,y,TownWeb,pdf
Clay Banks Town Board,6 p.m.,2nd Monday,,https://tn.claybanks.wi.gov/agendas-minutes/,https://tn.claybanks.wi.gov/town-board/,,Door,y,TownWeb,pdf
Egg Harbor Town Board,6 p.m.,3rd Monday,,https://www.townofeggharbor.org/agendas-minutes/,https://www.townofeggharbor.org/town-board/,,Door,,,
Forestville Town Board,6:30 p.m.,3rd Monday,,https://forestvilletown.wi.gov/agendas-minutes/,https://forestvilletown.wi.gov/town-officials/,,Door,y,TownWeb,pdf
Gardner Town Board,6:30 p.m.,2nd Wednesday,,https://townofgardnerwi.gov/agendas-minutes/,https://townofgardnerwi.gov/town-officials/,,Door,y,TownWeb,pdf
Gibraltar Town Board,6 p.m.,1st Wednesday,,https://gibraltarwi.gov/agendas-minutes/#town-board,https://gibraltarwi.gov/town-board/,,Door,y,TownWeb,pdf
Jacksonport Town Board,7 p.m.,Varies,,https://jacksonportwi.gov/agendas-minutes/,https://jacksonportwi.gov/town-board/,,Door,,,
Liberty Grove Town Board,6 p.m.,1st and 3rd Wednesday,,https://libertygrovewi.gov/agendas-minutes/,https://libertygrovewi.gov/town-board/,,Door,y,TownWeb,pdf
Nasewaupee Town Board,6 p.m.,3rd Thursday,,https://townofnasewaupeewi.gov/agendas-minutes/,https://townofnasewaupeewi.gov/town-board/,,Door,y,TownWeb,pdf
Sevastopol Town Board,7 p.m.,3rd Monday,,https://townofsevastopolwi.gov/agendas-minutes-video/,https://townofsevastopolwi.gov/town-board/,,Door,y,TownWeb,pdf
Sturgeon Bay Town Board,6 p.m.,2nd Monday,,https://townofsturgeonbay-wi.gov/agendas-minutes/,https://townofsturgeonbay-wi.gov/town-board-staff/,,Door,,,
Union Town Board,6 p.m.,2nd Wednesday,,https://www.townofuniondoorwi.gov/agendas-minutes/,https://www.townofuniondoorwi.gov/staff-directory/,,Door,y,TownWeb,pdf
Washington Town Board,6 p.m.,3rd Wednesday,,https://www.washingtonisland-wi.gov/government,https://www.washingtonisland-wi.gov/government,,Door,,,
Gibraltar School Board,7 p.m.,2nd and 4th Monday,,https://www.gibraltar.k12.wi.us/documents/administration/board-of-education/meeting-agendas/2026-calendar-year---meeting-agendas/25313766,https://www.gibraltar.k12.wi.us/page/board-of-education,,Door,,,
Sevastopol School Board,6 p.m.,3rd Wednesday,,https://www.sevastopol.k12.wi.us/school_board/school_board_agendas,https://www.sevastopol.k12.wi.us/school_board/school_board_members,,Door,,,
Southern Door School Board,6 or 6:30 p.m.,3rd Monday,,https://docs.google.com/document/d/1GdDYVQ0kvVOTUVHMRVdTSl7TQbeT_r4YJu-oRSwgPmk/edit?tab=t.0#heading=h.tosblamz4ey,https://www.sdsd.k12.wi.us/cms/one.aspx?pageId=1026205,,Door,,,
Sturgeon Bay School Board,6 p.m.,3rd Wednesday,,https://www.sturbay.k12.wi.us/district/agendas.cfm,https://www.sturbay.k12.wi.us/district/board-of-education.cfm,,Door,,,
